LAT,LON,YEAR,MO,DY,T2M_RANGE,ALLSKY_SFC_SW_DWN
33.42011,-112.04149,2000,6,3,18.03,8.57
33.42011,-112.04149,2000,6,4,20.4,8.8
33.42011,-112.04149,2000,6,5,22.72,8.38
33.42011,-112.04149,2000,6,6,20.41,8.4
33.42011,-112.04149,2000,6,7,18.11,8.18
33.42011,-112.04149,2000,6,8,13.77,7.59
33.42011,-112.04149,2000,6,9,15.53,8.39
33.42011,-112.04149,2000,6,10,17.97,8.12
33.42011,-112.04149,2000,6,11,19.15,8.44
33.42011,-112.04149,2000,6,12,19.49,8.47
33.42011,-112.04149,2000,6,13,19.55,8.64
33.42011,-112.04149,2000,6,14,19.76,8.39
33.42011,-112.04149,2000,6,15,19.07,8.48
33.42011,-112.04149,2000,6,16,18.05,8.22
33.42011,-112.04149,2000,6,17,16.32,8.35
33.42011,-112.04149,2000,6,18,13.08,8.38
33.42011,-112.04149,2000,6,19,12.76,7.64
33.42011,-112.04149,2000,6,20,12.41,6.69
33.42011,-112.04149,2000,6,21,14.51,7.64
33.42011,-112.04149,2000,6,22,12.11,7.45
33.42011,-112.04149,2000,6,23,13.74,7.55
33.42011,-112.04149,2000,6,24,14.43,8.12
33.42011,-112.04149,2000,6,25,15.94,7.54
33.42011,-112.04149,2000,6,26,16.03,7.76
33.42011,-112.04149,2000,6,27,12.24,5.55
33.42011,-112.04149,2000,6,28,11.11,6.16
33.42011,-112.04149,2000,6,29,12.1,7.7
33.42011,-112.04149,2000,6,30,13.66,8.01
33.42011,-112.04149,2000,7,1,11,7.76
33.42011,-112.04149,2000,7,2,14.38,6.99
33.42011,-112.04149,2000,7,3,16.49,8.15
33.42011,-112.04149,2000,7,4,18.02,7.74
33.42011,-112.04149,2000,7,5,17.93,8.04
33.42011,-112.04149,2000,7,6,15.66,8.33
33.42011,-112.04149,2000,7,7,13.74,7.32
33.42011,-112.04149,2000,7,8,11.98,6.12
33.42011,-112.04149,2000,7,9,14.74,7.77
33.42011,-112.04149,2000,7,10,16.84,8.07
33.42011,-112.04149,2000,7,11,13.61,7.54
33.42011,-112.04149,2000,7,12,18.12,8.04
33.42011,-112.04149,2000,7,13,17.37,5.85
33.42011,-112.04149,2000,7,14,14.93,7.15
33.42011,-112.04149,2000,7,15,14.51,7.89
